variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17657970,269.43923950195312,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17664270,269.53536987304688,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17659784,269.4669189453125,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17686894,269.88058471679688,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17661295,269.48997497558594,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17679192,269.7630615234375,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17654655,269.38865661621094,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,16443190,250.90316772460938,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,16316978,248.97732543945312,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16347204,249.43853759765625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,16343188,249.37725830078125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,16339653,249.32331848144531,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,16333773,249.23359680175781,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,16469479,251.30430603027344,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,11696566,22.309429168701172,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,1,524288,12030723,22.946783065795898,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,2,524288,12099036,23.077079772949219,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,3,524288,12117975,23.113203048706055,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,4,524288,12082471,23.04548454284668,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,5,524288,12065635,23.013372421264648,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,6,524288,12058695,23.00013542175293,0.92307627201080322
manual_avx2,x86_64,Release,measurement,256,0,524288,10334922,19.712299346923828,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,10314441,19.673234939575195,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,10329955,19.702825546264648,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,10342614,19.726970672607422,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,10294261,19.634744644165039,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,10106326,19.276287078857422,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,10132886,19.326946258544922,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,8192,10167318,1241.127685546875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,8192,10167929,1241.2022705078125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,8192,10190113,1243.9102783203125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,8192,10193919,1244.3748779296875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,8192,10171675,1241.6595458984375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,8192,10169071,1241.3416748046875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,8192,10182691,1243.0042724609375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,16384,19917625,1215.6753540039062,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,1,16384,19973450,1219.0826416015625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,2,16384,19919458,1215.7872314453125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,3,16384,19947831,1217.5189819335938,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,4,16384,19929343,1216.3905639648438,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,5,16384,19967961,1218.7476196289062,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,6,16384,19962913,1218.4395141601562,1.0209832191467285
compiler_reassociated,x86_64,Release,measurement,1024,0,131072,14798357,112.90250396728516,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,1,131072,14781842,112.77650451660156,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,2,131072,14784826,112.79927062988281,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,3,131072,14769643,112.68343353271484,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,4,131072,14783244,112.78720092773438,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,5,131072,14792959,112.86132049560547,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,6,131072,14787771,112.82173919677734,1.0209778547286987
manual_avx2,x86_64,Release,measurement,1024,0,262144,18907964,72.128158569335938,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,1,262144,19107928,72.890960693359375,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,2,262144,19122320,72.94586181640625,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,3,262144,18925682,72.195747375488281,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,4,262144,18752720,71.53594970703125,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,5,262144,19007606,72.508262634277344,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,6,262144,19001156,72.483657836914062,1.0209798812866211
scalar,x86_64,Release,measurement,4096,0,2048,10471650,5113.1103515625,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,1,2048,10496407,5125.19873046875,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,2,2048,10477910,5116.1669921875,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,3,2048,10475326,5114.9052734375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,4,2048,10486132,5120.181640625,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,5,2048,10467904,5111.28125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,6,2048,10473583,5114.05419921875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,0,2048,10410507,5083.25537109375,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,1,2048,10416055,5085.96435546875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,2,2048,10423237,5089.47119140625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,3,2048,10417087,5086.46826171875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,4,2048,10414473,5085.19189453125,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,5,2048,10429856,5092.703125,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,6,2048,10428604,5092.091796875,-1.7132706642150879
compiler_reassociated,x86_64,Release,measurement,4096,0,32768,19768820,603.2965087890625,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,1,32768,19715108,601.6573486328125,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,2,32768,19779836,603.6326904296875,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,3,32768,19759646,603.01654052734375,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,4,32768,19720977,601.83645629882812,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,5,32768,19723170,601.90338134765625,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,6,32768,19750131,602.72616577148438,-1.7132910490036011
manual_avx2,x86_64,Release,measurement,4096,0,65536,19811784,302.3038330078125,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,1,65536,19722139,300.93595886230469,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,2,65536,19813458,302.32937622070312,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,3,65536,19818294,302.40316772460938,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,4,65536,19799767,302.12046813964844,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,5,65536,19815921,302.36695861816406,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,6,65536,19754718,301.43307495117188,-1.7132848501205444
scalar,x86_64,Release,measurement,16384,0,512,10529818,20566.05078125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,1,512,10527815,20562.138671875,0.89516866207122803
scalar,x86_64,Release,measurement,16384,2,512,10526112,20558.8125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,3,512,10533253,20572.759765625,0.89516866207122803
scalar,x86_64,Release,measurement,16384,4,512,10570920,20646.328125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,5,512,10520433,20547.720703125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,6,512,10523939,20554.568359375,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,0,512,10507484,20522.4296875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,1,512,10514104,20535.359375,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,2,512,10529807,20566.029296875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,3,512,10512802,20532.81640625,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,4,512,10511600,20530.46875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,5,512,10512351,20531.935546875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,6,512,10517709,20542.400390625,0.89516866207122803
compiler_reassociated,x86_64,Release,measurement,16384,0,4096,10402055,2539.564208984375,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,1,4096,10410908,2541.7255859375,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,2,4096,10403697,2539.965087890625,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,3,4096,10407532,2540.9013671875,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,4,4096,10412510,2542.11669921875,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,5,4096,10429276,2546.2099609375,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,6,4096,10421925,2544.415283203125,0.89508736133575439
manual_avx2,x86_64,Release,measurement,16384,0,8192,14181572,1731.14892578125,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,1,8192,14189885,1732.1636962890625,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,2,8192,14184337,1731.4864501953125,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,3,8192,14174491,1730.2845458984375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,4,8192,14166940,1729.36279296875,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,5,8192,14345891,1751.2073974609375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,6,8192,14182804,1731.29931640625,0.89510297775268555
scalar,x86_64,Release,measurement,65536,0,128,10551641,82434.6953125,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,1,128,10564660,82536.40625,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,2,128,10577861,82639.5390625,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,3,128,10553884,82452.21875,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,4,128,10557150,82477.734375,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,5,128,10551681,82435.0078125,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,6,128,10544360,82377.8125,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,0,128,10551220,82431.40625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,1,128,10540774,82349.796875,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,2,128,10554866,82459.890625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,3,128,10552402,82440.640625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,4,128,10552082,82438.140625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,5,128,10566964,82554.40625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,6,128,10555136,82462,-0.18156573176383972
compiler_reassociated,x86_64,Release,measurement,65536,0,1024,10548707,10301.4716796875,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,1,1024,10542426,10295.337890625,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,2,1024,10576989,10329.0908203125,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,3,1024,10571701,10323.9267578125,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,4,1024,10547284,10300.08203125,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,5,1024,10546002,10298.830078125,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,6,1024,10550319,10303.0458984375,-0.18188893795013428
manual_avx2,x86_64,Release,measurement,65536,0,2048,16742062,8174.8349609375,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,1,2048,16730495,8169.18701171875,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,2,2048,16749463,8178.44873046875,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,3,2048,16738377,8173.03564453125,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,4,2048,16755843,8181.56396484375,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,5,2048,16742884,8175.236328125,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,6,2048,16755613,8181.45166015625,-0.18182754516601562
scalar,x86_64,Release,measurement,1048576,0,8,10582688,1322836,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,1,8,10568126,1321015.75,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,2,8,10570680,1321335,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,3,8,10569378,1321172.25,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,4,8,10575648,1321956,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,5,8,10571181,1321397.625,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,6,8,10572192,1321524,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,0,8,10570409,1321301.125,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,1,8,10574485,1321810.625,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,2,8,10576719,1322089.875,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,3,8,10577160,1322145,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,4,8,10568857,1321107.125,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,5,8,10578983,1322372.875,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,6,8,10578873,1322359.125,-0.12181839346885681
compiler_reassociated,x86_64,Release,measurement,1048576,0,64,10618202,165909.40625,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,1,64,10622818,165981.53125,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,2,64,10616379,165880.921875,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,3,64,10602748,165667.9375,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,4,64,10612904,165826.625,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,5,64,10626405,166037.578125,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,6,64,10632013,166125.203125,-0.12701523303985596
manual_avx2,x86_64,Release,measurement,1048576,0,128,18633339,145572.9609375,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,1,128,18567549,145058.9765625,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,2,128,18645357,145666.8515625,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,3,128,17809270,139134.921875,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,4,128,17695988,138249.90625,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,5,128,18175135,141993.2421875,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,6,128,17816471,139191.1796875,-0.12603211402893066
scalar,x86_64,Release,measurement,256,0,65536,17654986,269.39370727539062,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17679784,269.7720947265625,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17653715,269.37431335449219,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17658561,269.44825744628906,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17673835,269.68132019042969,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17652823,269.36070251464844,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17661636,269.49517822265625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,16524112,252.137939453125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,16492244,251.65167236328125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16519465,252.06703186035156,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,16404371,250.31083679199219,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,16427426,250.66262817382812,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,16437881,250.82215881347656,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,16300864,248.7314453125,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,12023261,22.932550430297852,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,1,524288,11945964,22.785118103027344,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,2,524288,11990662,22.870372772216797,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,3,524288,12068089,23.01805305480957,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,4,524288,12060407,23.003400802612305,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,5,524288,12084745,23.049821853637695,0.92307627201080322
